playerid,name,team,age,pa,hr,sb,avg,obp,slg,ops,bb,so,iso,bb_percent,k_percent,xwoba,xba,woba,ev,barrel_batted_rate,hard_hit_percent,wrc_plus
596019,Francisco Lindor,,31,732,31,31,0.267,0.346,0.466,0.812,65,131,0.199,0.0888,0.179,0.345,0.26,0.35,90.5,8.8,44.4,130.2
646240,Rafael Devers,,28,729,35,1,0.252,0.372,0.479,0.851,112,192,0.227,0.1536,0.2634,0.367,0.244,0.365,93.5,16,56.1,141.6
660271,Shohei Ohtani,,30,727,55,20,0.282,0.392,0.622,1.014,109,187,0.34,0.1499,0.2572,0.425,0.274,0.418,94.9,23.5,58.7,181.7
621566,Matt Olson,,31,724,29,1,0.272,0.366,0.484,0.85,91,176,0.212,0.1257,0.2431,0.36,0.249,0.366,93.3,14.3,53.3,142.3
656941,Kyle Schwarber,,32,724,56,10,0.24,0.365,0.563,0.928,108,197,0.323,0.1492,0.2721,0.403,0.251,0.391,94.3,20.8,59.6,161.2
672695,Geraldo Perdomo,,25,720,20,27,0.29,0.389,0.462,0.851,94,83,0.172,0.1306,0.1153,0.356,0.278,0.37,87.6,6.2,31.9,145.4
665742,Juan Soto,,26,715,43,38,0.263,0.396,0.525,0.921,127,137,0.262,0.1776,0.1916,0.429,0.288,0.39,93.8,18.1,55.3,160.5
677594,Julio Rodríguez,,24,710,32,30,0.267,0.324,0.474,0.798,44,152,0.207,0.062,0.2141,0.348,0.274,0.341,91.8,9.8,48,123.4
624413,Pete Alonso,,30,709,38,1,0.272,0.347,0.524,0.871,61,162,0.252,0.086,0.2285,0.386,0.274,0.368,93.5,18.9,54.4,143.9
668227,Randy Arozarena,,30,709,27,31,0.238,0.334,0.426,0.76,64,191,0.188,0.0903,0.2694,0.327,0.227,0.332,91.3,11.5,50.6,116.6
663728,Cal Raleigh,,28,705,60,14,0.247,0.359,0.589,0.948,97,188,0.342,0.1376,0.2667,0.371,0.231,0.392,91.3,19.5,49.6,162.0
682829,Elly De La Cruz,,23,699,22,37,0.264,0.336,0.44,0.776,67,181,0.176,0.0959,0.2589,0.322,0.251,0.333,91,10.2,44.2,117.4
667670,Brent Rooker,,30,699,30,6,0.262,0.335,0.479,0.814,65,155,0.217,0.093,0.2217,0.351,0.261,0.349,90.7,13.7,44.8,129.5
680776,Jarren Duran,,28,696,16,24,0.256,0.332,0.442,0.774,60,169,0.186,0.0862,0.2428,0.326,0.248,0.335,91.8,9.7,46.8,118.9
671218,Heliot Ramos,,25,695,21,6,0.256,0.328,0.4,0.728,52,158,0.144,0.0748,0.2273,0.32,0.242,0.319,91.8,8.8,47.4,106.8
680757,Steven Kwan,,27,693,11,21,0.272,0.33,0.374,0.704,55,60,0.102,0.0794,0.0866,0.31,0.273,0.31,86.2,1.9,19.3,100.0
665487,Fernando Tatis Jr.,,26,691,25,32,0.268,0.368,0.446,0.814,89,129,0.178,0.1288,0.1867,0.37,0.272,0.353,93.3,10.9,51.8,132.5
695578,James Wood,,22,689,31,15,0.256,0.35,0.475,0.825,85,221,0.219,0.1234,0.3208,0.361,0.259,0.353,94.3,16.3,56.3,132.5
677951,Bobby Witt Jr.,,25,687,23,38,0.295,0.351,0.501,0.852,49,125,0.206,0.0713,0.182,0.365,0.285,0.36,93.3,12.5,48.5,137.8
642715,Willy Adames,,29,686,30,12,0.225,0.318,0.421,0.739,80,179,0.196,0.1166,0.2609,0.327,0.224,0.321,88.9,12.6,42.8,108.3
670770,TJ Friedl,,29,685,14,12,0.261,0.364,0.378,0.742,81,115,0.117,0.1182,0.1679,0.303,0.231,0.333,87.1,2.7,32.1,117.4
686469,Vinnie Pasquantino,,27,682,32,1,0.264,0.323,0.475,0.798,49,107,0.211,0.0718,0.1569,0.334,0.259,0.34,90.9,10.8,44.7,122.7
665489,Vladimir Guerrero Jr.,,26,680,23,6,0.292,0.381,0.467,0.848,81,94,0.175,0.1191,0.1382,0.384,0.3,0.366,92,12.2,50.7,142.3
592450,Aaron Judge,,33,679,53,12,0.331,0.457,0.688,1.145,124,160,0.357,0.1826,0.2356,0.46,0.3,0.463,95.4,24.7,58.2,215.7
592518,Manny Machado,,32,678,27,14,0.275,0.335,0.46,0.795,55,131,0.185,0.0811,0.1932,0.355,0.271,0.341,92.9,12.9,51.5,123.4
650333,Luis Arraez,,28,675,8,11,0.292,0.327,0.392,0.719,34,21,0.1,0.0504,0.0311,0.303,0.287,0.313,86.1,1.1,16.7,102.3
608070,José Ramírez,,32,673,30,44,0.283,0.36,0.503,0.863,66,74,0.22,0.0981,0.11,0.342,0.284,0.359,88.9,7,37,137.1
645277,Ozzie Albies,,28,667,16,14,0.24,0.306,0.365,0.671,55,94,0.125,0.0825,0.1409,0.299,0.243,0.295,87.5,4.9,30.7,88.7
672580,Maikel Garcia,,25,666,16,23,0.286,0.351,0.449,0.8,62,84,0.163,0.0931,0.1261,0.335,0.276,0.347,91.3,5.6,45.1,128.0
605141,Mookie Betts,,32,663,20,8,0.258,0.326,0.406,0.732,61,68,0.148,0.092,0.1026,0.33,0.267,0.318,89.1,5.5,35.8,106.0
664023,Ian Happ,,30,663,23,6,0.243,0.342,0.42,0.762,87,151,0.177,0.1312,0.2278,0.354,0.256,0.333,90,10.4,44.4,117.4
